,dtype,missing,unique_values
bathrooms,int64,0,4
description,object,38,21015
detailedType.subTypology,object,0,9
detailedType.typology,object,0,3
district,object,0,236
exterior,int64,0,2
floor,float64,0,17
has360,int64,0,2
has3DTour,int64,0,2
hasLift,int64,0,2
hasPlan,int64,0,2
hasStaging,int64,0,2
hasVideo,int64,0,2
highlight.groupDescription,object,0,4
latitude,float64,0,22357
longitude,float64,0,22364
municipality,object,0,33
newDevelopment,int64,0,2
newDevelopmentFinished,int64,0,2
numPhotos,object,0,7
parkingSpace.hasParkingSpace,int64,0,2
parkingSpace.isParkingSpaceIncludedInPrice,int64,0,2
parkingSpace.parkingSpacePrice,float64,0,67
price,float64,0,3817
priceByArea,float64,0,7965
priceInfo.price.priceDropInfo.priceDropPercentage,float64,0,27
priceInfo.price.priceDropInfo.priceDropValue,float64,0,276
propertyType,object,0,6
rooms,int64,0,5
showAddress,int64,0,2
size,float64,0,653
status,object,0,3
topPlus,int64,0,2
floor_cat,object,0,7
has_neighborhood,int64,0,2
has_Discount,int64,0,2
