,count,mean,std,min,25%,50%,75%,max
bathrooms,26261.0,2.1643882563497203,1.0809105900260902,1.0,1.0,2.0,3.0,4.0
exterior,26261.0,0.6519553710825939,0.47635932454534663,0.0,0.0,1.0,1.0,1.0
floor,26261.0,1.8201515555386314,2.193318593080891,-1.0,0.0,1.0,3.0,15.0
has360,26261.0,0.1425307490194585,0.3496003270420987,0.0,0.0,0.0,0.0,1.0
has3DTour,26261.0,0.11374281253569933,0.31750468323307895,0.0,0.0,0.0,0.0,1.0
hasLift,26261.0,0.5557671071170176,0.4968897579107926,0.0,0.0,1.0,1.0,1.0
hasPlan,26261.0,0.5557671071170176,0.4968897579107926,0.0,0.0,1.0,1.0,1.0
hasStaging,26261.0,0.048284528388104035,0.21437089969334575,0.0,0.0,0.0,0.0,1.0
hasVideo,26261.0,0.3433608773466357,0.47483973201008245,0.0,0.0,0.0,1.0,1.0
latitude,26261.0,40.43247933819352,0.11480172676949255,40.0018991,40.3882391,40.4264329,40.4657489,41.1069281
longitude,26261.0,-3.7174317453600394,0.16370332803168874,-4.4942738,-3.7692621,-3.698649,-3.6560513,-3.0713357
newDevelopment,26261.0,0.1039945165835269,0.305259243027228,0.0,0.0,0.0,0.0,1.0
newDevelopmentFinished,26261.0,0.0026274703933589732,0.05119244656968926,0.0,0.0,0.0,0.0,1.0
parkingSpace.hasParkingSpace,26261.0,0.45280073112219643,0.4977767213972951,0.0,0.0,0.0,1.0,1.0
parkingSpace.isParkingSpaceIncludedInPrice,26261.0,0.43680743307566355,0.4960000681456581,0.0,0.0,0.0,1.0,1.0
parkingSpace.parkingSpacePrice,26261.0,15811.126880164502,14161.921284986338,0.0,0.0,28000.0,28000.0,100000.0
price,26261.0,800391.9151000668,763650.5976720587,11000.0,269990.0,489000.0,1050000.0,3675000.0
priceByArea,26261.0,5166.607078938349,3491.62045161817,2.0,2651.0,3993.0,6860.0,24088.0
priceInfo.price.priceDropInfo.priceDropPercentage,26261.0,0.493088610487034,1.7521393254087114,0.0,0.0,0.0,0.0,45.0
priceInfo.price.priceDropInfo.priceDropValue,26261.0,3096.3751189977534,16710.71644186585,0.0,0.0,0.0,0.0,755200.0
rooms,26261.0,3.0319104375309394,1.2160900703289492,1.0,2.0,3.0,4.0,5.0
showAddress,26261.0,0.1938996991736796,0.3953587711832721,0.0,0.0,0.0,0.0,1.0
size,26261.0,158.39268877803588,120.91134358161582,11.0,78.0,115.0,196.0,695.0
topPlus,26261.0,0.02707436883591638,0.16230326702140396,0.0,0.0,0.0,0.0,1.0
has_neighborhood,26261.0,0.6083545942652603,0.4881273962699379,0.0,0.0,1.0,1.0,1.0
has_Discount,26261.0,0.10685046266326492,0.30892891652794774,0.0,0.0,0.0,0.0,1.0
